,realtime,%cpu,rchar,wchar,syscr,syscw,read_bytes,write_bytes,%mem,vmem,rss,peak_vmem,peak_rss,vol_ctxt,inv_ctxt,scheme,samples,threads,type,iter,size_bytes
845,27541,1521,1236312851,976061976,128158,29928,20697088,0,0,2398004,70124,2407628,70516,43892,4406,enteritidis_v1.0.7,1,1,single,6,250503194
846,41107,1461,1840173680,1358445916,181607,41642,20716544,0,0,2382356,70256,2407628,70652,56274,10550,enteritidis_v1.0.7,1,1,single,8,471980053
847,34065,1414,1430214157,1102875123,145700,33813,20697088,0,0,2390136,70348,2407624,70740,45727,10887,enteritidis_v1.0.7,1,1,single,1,317591343
848,133961,4663,2630693890,1822580231,269307,260532,33693696,5541888,6,10028676,1434424,10105844,1471028,40491,16100,enteritidis_v1.0.7,1,16,snippy,1,237194140
849,226367,1791,3035023307,2484416810,344011,284544,33728512,2195456,4,8833532,1004496,8900572,1026156,67483,22344,enteritidis_v1.0.7,1,2,snippy,1,158870730
850,20291,1402,722273674,579385476,76152,17774,20697088,0,0,2388420,69604,2407632,70000,27387,7190,enteritidis_v1.0.7,1,1,single,2,133140452
851,346733,1764,5253936586,4431252053,604042,484888,33693696,3031040,6,8850808,1775360,8917848,1810940,119169,15522,enteritidis_v1.0.7,1,2,snippy,1,250503194
852,40993,1390,1649465414,1292196449,169747,39612,20697088,0,0,2393264,69444,2407624,69840,59446,19139,enteritidis_v1.0.7,1,1,single,2,347521401
853,18462,1399,611204603,476098793,63309,14609,20716544,0,0,2396916,69576,2407628,69972,22454,9607,enteritidis_v1.0.7,1,1,single,3,125358126
854,33299,1521,1605628065,1312738588,170252,40242,20697088,0,0,1989632,70192,2407628,70588,54502,2686,enteritidis_v1.0.7,1,1,single,4,283141807
855,43220,1310,1649465414,1292196449,169745,39612,20697088,0,0,2385184,70008,2407628,70404,57904,33451,enteritidis_v1.0.7,1,1,single,4,347521401
856,70233,3443,2190497367,1645455632,233884,188034,33693696,3092480,3,9237680,726896,9306784,941896,41455,4350,enteritidis_v1.0.7,1,8,snippy,1,104818648
857,38668,1273,1294375339,1028674351,134757,31539,20716544,0,0,1989636,69628,2407632,70024,43480,38828,enteritidis_v1.0.7,1,1,single,8,255953274
858,49141,1472,2215466804,1692677739,223666,51882,20697088,0,0,2396976,69684,2407624,70060,63317,16070,enteritidis_v1.0.7,1,1,single,2,513041485
859,1264025,3706,117261121429,92068200869,12013380,2821695,20936704,0,0,10071904,296180,10279468,296180,311061,10756841,enteritidis_v1.0.7,96,4,multiple,3,96
860,26303,1442,1091843166,831847626,110556,25509,20697088,0,0,2390140,69796,2407632,70188,36728,2081,enteritidis_v1.0.7,1,1,single,3,250246916
861,36042,1203,1121398542,876965441,115596,26891,20716544,0,0,2389904,70000,2407624,70396,43212,48057,enteritidis_v1.0.7,1,1,single,1,234685421
862,28731,1398,1107891519,860363530,113659,26382,20697088,0,0,2391708,69680,2407632,70076,41173,14605,enteritidis_v1.0.7,1,1,single,2,237780265
863,51783,1382,2118158424,1644665807,216321,50412,20697088,0,0,2393268,69984,2407628,70380,72869,31942,enteritidis_v1.0.7,1,1,single,6,463745106
