250 SH genome assemblies	500 SH genome assemblies	750 SH genome assemblies	1000 SH genome assemblies
SRR6350807	SRR2533483	SRR1976233	SRR1801538
SRR6350817	SRR2533579	SRR1976264	SRR1805612
SRR6350931	SRR2533580	SRR1976271	SRR1805623
SRR6359118	SRR2542452	SRR1976273	SRR1805651
SRR6380785	SRR2566902	SRR1979270	SRR1810515
SRR6419002	SRR2566929	SRR1980618	SRR1810552
SRR6451860	SRR2566994	SRR1980736	SRR1810553
SRR6451864	SRR2567064	SRR1981682	SRR1810570
SRR6514392	SRR2567110	SRR1982024	SRR1812825
SRR6650724	SRR2567137	SRR1982141	SRR1813429
SRR6650755	SRR2567179	SRR1982189	SRR1814288
SRR6663476	SRR2567212	SRR1982213	SRR1814289
SRR6682143	SRR2571592	SRR1982223	SRR1814325
SRR6736386	SRR2577469	SRR1982231	SRR1814408
SRR6750506	SRR2577471	SRR1988486	SRR1814409
SRR6760433	SRR2584318	SRR1988488	SRR1814410
SRR6766136	SRR2584388	SRR1988506	SRR1816140
SRR6786499	SRR2584391	SRR1995502	SRR1816142
	SRR2724060	SRR1995517	SRR1820091
	SRR2759139	SRR1995549	SRR1840638
	SRR2759141	SRR1995557	SRR1840639
	SRR2759143	SRR1996182	SRR1840640
	SRR2759146	SRR1996183	SRR1840641
	SRR2759152	SRR1997785	SRR1840642
	SRR2910878	SRR1997787	SRR1840644
	SRR2911004	SRR1997790	SRR1840645
	SRR2912643	SRR2002456	SRR1840647
	SRR2962358	SRR2002485	SRR1840648
	SRR2962667	SRR2005891	SRR1840649
	SRR2973821	SRR2012819	SRR1840650
	SRR2973822	SRR2012876	SRR1840699
	SRR3028747	SRR2012877	SRR1840716
	SRR3028756	SRR2015815	SRR1849329
	SRR3028757	SRR2017874	SRR1849370
	SRR3028758	SRR2017878	SRR1849386
	SRR3028760	SRR2017880	SRR1849392
	SRR3028764	SRR2025306	SRR1861877
	SRR3028785	SRR2029462	SRR1908927
	SRR3028786	SRR2029467	SRR1908990
	SRR3049393	SRR2035439	SRR1909017
	SRR3057168	SRR2039096	SRR1910302
	SRR3057172	SRR2039126	SRR1910303
	SRR3057201	SRR2039239	SRR1916092
	SRR3057204	SRR2043271	SRR1916113
	SRR3057205	SRR2043473	SRR1916125
	SRR3057206	SRR2043479	SRR1916388
	SRR3091410	SRR2043702	SRR1918943
	SRR3096096	SRR2047321	SRR1918986
	SRR3096105	SRR2047330	SRR1923644
	SRR3096106	SRR2047334	SRR1946915
	SRR3110379	SRR2054609	SRR1946958
	SRR3136890	SRR2062217	SRR1946968
	SRR3137153	SRR2062219	SRR1946977
	SRR3168644	SRR2064107	SRR1946999
	SRR3173558	SRR2064108	SRR1947022
	SRR3191437	SRR2064116	SRR1947043
	SRR3210442	SRR2067947	SRR1950919
	SRR3219184	SRR2070982	SRR1951883
	SRR3219185	SRR2070986	SRR1952701
	SRR3306215	SRR2075014	SRR1965056
	SRR3321861	SRR2075044	SRR1966080
	SRR3330221	SRR2075295	SRR1968390
	SRR3399771	SRR2078201	SRR1970587
	SRR3400013	SRR2078902	SRR1970592
	SRR3664815	SRR2082862	SRR1973821
	SRR3664820	SRR2082936	SRR1973892
	SRR3664866	SRR2082937	SRR1973919
	SRR3665028	SRR2085688	SRR1973974
	SRR3665069	SRR2085784	SRR1973984
	SRR3665076	SRR2086992	SRR1974003
	SRR3665086	SRR2088774	SRR1974096
	SRR3665087	SRR2096539	SRR1976233
	SRR3665093	SRR2102388	SRR1976238
	SRR3665208	SRR2102463	SRR1976256
	SRR3682071	SRR2121399	SRR1976264
	SRR3685561	SRR2121400	SRR1976271
	SRR3765010	SRR2121401	SRR1976273
	SRR3932991	SRR2121402	SRR1979270
	SRR3933003	SRR2121403	SRR1980618
	SRR3933074	SRR2121671	SRR1980736
	SRR3933076	SRR2125859	SRR1981682
	SRR4044374	SRR2132208	SRR1982024
	SRR4044375	SRR2143474	SRR1982114
	SRR4044378	SRR2143476	SRR1982141
	SRR4044680	SRR2152999	SRR1982187
	SRR4273718	SRR2153004	SRR1982189
	SRR4292024	SRR2156502	SRR1982208
	SRR4292025	SRR2156600	SRR1982211
	SRR4295053	SRR2174045	SRR1982213
	SRR4297054	SRR2182896	SRR1982223
	SRR4341028	SRR2182897	SRR1982231
	SRR4342969	SRR2182898	SRR1988486
	SRR4342972	SRR2182899	SRR1988488
	SRR4418379	SRR2182910	SRR1988506
	SRR4420932	SRR2192167	SRR1995502
	SRR4421014	SRR2227613	SRR1995517
	SRR4429351	SRR2227620	SRR1995549
	SRR4432516	SRR2407552	SRR1995557
	SRR4449971	SRR2407684	SRR1996162
	SRR4454554	SRR2407779	SRR1996182
	SRR5016810	SRR2407782	SRR1996183
	SRR5053571	SRR2426356	SRR1997785
	SRR5054228	SRR2426358	SRR1997787
	SRR5055220	SRR2426359	SRR1997789
	SRR5055275	SRR2426360	SRR1997790
	SRR5055522	SRR2532722	SRR1997791
	SRR5055599	SRR2532784	SRR2002456
	SRR5055934	SRR2533348	SRR2002485
	SRR5055986	SRR2533442	SRR2005891
	SRR5081554	SRR2533481	SRR2012819
	SRR5116948	SRR2533483	SRR2012876
	SRR5125687	SRR2533485	SRR2012877
	SRR5188697	SRR2533486	SRR2015675
	SRR5195884	SRR2533553	SRR2015815
	SRR5221413	SRR2533554	SRR2015922
	SRR5221624	SRR2533579	SRR2017868
	SRR5231232	SRR2533580	SRR2017874
	SRR5231293	SRR2542452	SRR2017878
	SRR5236373	SRR2566902	SRR2017879
	SRR5236377	SRR2566914	SRR2017880
	SRR5236381	SRR2566915	SRR2025306
	SRR5236385	SRR2566929	SRR2025315
	SRR5236398	SRR2566994	SRR2029462
	SRR5236406	SRR2567064	SRR2029467
	SRR5236407	SRR2567093	SRR2035390
	SRR5237962	SRR2567136	SRR2035437
	SRR5237966	SRR2567175	SRR2035439
	SRR5238038	SRR2567179	SRR2039096
	SRR5238181	SRR2567190	SRR2039126
	SRR5239194	SRR2567212	SRR2039152
	SRR5239196	SRR2571592	SRR2039239
	SRR5239201	SRR2571695	SRR2039245
	SRR5239210	SRR2577469	SRR2043266
	SRR5239214	SRR2577472	SRR2043271
