250 ST genome assemblies	500 ST genome assemblies	750 ST genome assemblies	1000 ST genome assemblies
	SRR5278649	SRR2567025	SRR1645837
	SRR5289521	SRR2567060	SRR1645878
	SRR5336304	SRR2567068	SRR1645981
	SRR5360685	SRR2567163	SRR1646005
	SRR5360725	SRR2571701	SRR1646152
	SRR5361563	SRR2669154	SRR1646237
	SRR5366196	SRR2749817	SRR1646268
	SRR5409062	SRR2831451	SRR1646377
	SRR5409208	SRR2911777	SRR1646694
	SRR5441496	SRR2962407	SRR1660405
	SRR5451261	SRR2968121	SRR1664226
	SRR5471243	SRR2969454	SRR1774093
	SRR5483899	SRR2969457	SRR1801545
	SRR5501083	SRR3027705	SRR1812842
	SRR5573084	SRR3031869	SRR1812859
	SRR5576039	SRR3049039	SRR1814272
	SRR5584055	SRR3049140	SRR1814426
	SRR5584824	SRR3049259	SRR1814871
	SRR5586384	SRR3049281	SRR1814898
	SRR5588630	SRR3049297	SRR1814899
	SRR5628647	SRR3049335	SRR1814926
	SRR5655471	SRR3049956	SRR1814932
	SRR5659564	SRR3055299	SRR1816137
	SRR5659618	SRR3057179	SRR1816458
	SRR5677859	SRR3062414	SRR1822313
	SRR5684040	SRR3081663	SRR1909006
	SRR5704987	SRR3082382	SRR1946947
	SRR5712127	SRR3098374	SRR1958061
	SRR5712132	SRR3110329	SRR1958174
	SRR5750018	SRR3110504	SRR1958317
	SRR5753178	SRR3115208	SRR1958532
	SRR5761321	SRR3169005	SRR1958688
	SRR5787131	SRR3169007	SRR1959284
	SRR5799564	SRR3184568	SRR1959478
	SRR5799590	SRR3184585	SRR1960187
	SRR5799604	SRR3184629	SRR1963356
	SRR5808875	SRR3214194	SRR1963501
	SRR5812080	SRR3217375	SRR1963514
	SRR5864287	SRR3271891	SRR1963620
	SRR5864575	SRR3284714	SRR1965074
	SRR5864626	SRR3285348	SRR1965201
	SRR5865227	SRR3285434	SRR1965321
	SRR5865229	SRR3295616	SRR1965333
	SRR5865368	SRR3295666	SRR1965418
	SRR5879441	SRR3306521	SRR1965768
	SRR5888114	SRR3319982	SRR1965942
	SRR5888116	SRR3321802	SRR1966062
	SRR5890317	SRR3322069	SRR1966066
	SRR5908289	SRR3322109	SRR1966079
	SRR5924447	SRR3322115	SRR1966203
	SRR5929575	SRR3322273	SRR1966275
	SRR5934141	SRR3322690	SRR1966410
	SRR5935603	SRR3330219	SRR1966450
	SRR5944104	SRR3400503	SRR1966841
	SRR5947453	SRR3405747	SRR1967149
	SRR5947659	SRR3453150	SRR1967168
	SRR5948427	SRR3474685	SRR1967382
	SRR5991660	SRR3476796	SRR1967679
	SRR6025906	SRR3476805	SRR1967753
	SRR6038055	SRR3476849	SRR1967783
	SRR6050746	SRR3499837	SRR1967882
	SRR6050774	SRR3544671	SRR1967923
	SRR6050811	SRR3606584	SRR1968084
	SRR6051308	SRR3664771	SRR1968283
	SRR6062272	SRR3664790	SRR1968343
	SRR6062347	SRR3664817	SRR1968525
	SRR6062372	SRR3664882	SRR1968669
	SRR6062403	SRR3721477	SRR1968810
	SRR6074583	SRR3721582	SRR1968825
	SRR6074662	SRR3740200	SRR1969136
	SRR6074675	SRR3743943	SRR1969306
	SRR6074703	SRR3930227	SRR1969387
	SRR6074714	SRR3932892	SRR1969440
	SRR6107531	SRR3933562	SRR1969799
	SRR6107636	SRR3933672	SRR1969866
	SRR6110991	SRR3934217	SRR1969977
	SRR6111081	SRR3944423	SRR1970277
	SRR6111193	SRR3945764	SRR1982139
	SRR6111224	SRR4011998	SRR2054187
	SRR6111233	SRR4012609	SRR2054215
	SRR6111245	SRR4044658	SRR2054237
	SRR6111314	SRR4046385	SRR2076024
	SRR6111336	SRR4100146	SRR2152994
	SRR6114069	SRR4105006	SRR2153204
	SRR6114088	SRR4105054	SRR2163440
	SRR6114211	SRR4176675	SRR2163441
	SRR6116976	SRR4176737	SRR2163445
	SRR6116988	SRR4280607	SRR2182864
	SRR6117098	SRR4280641	SRR2407604
	SRR6117122	SRR4292980	SRR2407631
	SRR6117252	SRR4292986	SRR2407708
	SRR6117468	SRR4295067	SRR2426344
	SRR6117491	SRR4295074	SRR2533460
	SRR6117519	SRR4297066	SRR2533555
